rh,variable,form,p1,p2,p3
30,bmax,briere,0.01896814,14.99143854,38.74030544
45,bmax,briere,0.01340704,10.92871293,43.86277748
60,bmax,briere,0.01393860,9.39684430,38.44414320
75,bmax,briere,0.01473025,9.08571143,39.07873744
90,bmax,briere,0.02595934,14.81482206,36.42315061
30,z,quadratic,0.07521821,0.20313657,31.91375443
45,z,quadratic,0.16194790,7.90875040,31.47138030
60,z,quadratic,0.10899572,0.01020849,31.37421896
75,z,quadratic,0.10653705,0.05945196,32.29388607
90,z,quadratic,0.08053252,0.23865613,34.27064616
30,a,exponential,239.09860759,5.63482631,0.12924476
45,a,exponential,685.80162882,6.12481120,0.18131564
60,a,exponential,466.72042264,6.29956087,0.17937198
75,a,exponential,586.60981978,6.00359443,0.18255487
90,a,exponential,439.80642989,6.60753205,0.18473814
30,zj,binomial_quad,-23.76446666,1.64412416,-0.02633279
45,zj,binomial_quad,-15.33404630,1.13226344,-0.01912670
60,zj,binomial_quad,-24.88455947,1.87021621,-0.03236184
75,zj,binomial_quad,-24.22362768,1.86089314,-0.03254606
90,zj,binomial_quad,-21.56127687,1.86406416,-0.03591581
